Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
11.538461538461538,8.307692307692308,175.06330496449863,347.6327448819493,2498259.4212140325,4173835.9731147806,61610.5050365203,fatigue
11.538461538461538,8.538461538461538,168.94696788474894,335.1751473796707,2808446.2185123414,4914629.265110818,70900.46150616834,fatigue
11.538461538461538,8.76923076923077,163.10920349504008,323.3850421553899,3153015.090378168,5769212.461001794,81463.11024620663,fatigue
11.538461538461538,9.0,157.53590103806258,312.2151846952383,3535221.3690055315,6752459.654634932,93452.22902374818,fatigue
11.538461538461538,9.23076923076923,152.21360193986646,301.6222449662888,3958570.072270271,7880887.945812688,107037.44467615518,fatigue
11.538461538461538,9.461538461538462,147.12948524590752,291.5664497623816,4426830.772492206,9172815.235052349,122405.5846183002,fatigue
11.538461538461538,9.692307692307693,142.27135065344132,282.01126172660264,4944053.267922023,10648532.176123142,139762.12580093057,fatigue
11.538461538461538,9.923076923076923,137.62759987822614,272.92309077890206,5514584.102353429,12330489.3884992,159332.74768285506,fatigue
11.538461538461538,10.153846153846153,133.18721687229112,264.2710341697155,6143083.97718247,14243501.062775217,181364.99610581188,fatigue
11.538461538461538,10.384615384615385,128.93974726443858,256.0266418428141,6834546.098581238,16414966.120229792,206130.06526618943,fatigue
11.538461538461538,10.615384615384617,124.87527729986196,248.16370421308164,7594315.500321689,18875108.113704327,233924.70526097226,fatigue
11.538461538461538,10.846153846153847,120.98441249222141,240.65805984314136,8428109.380280651,21657235.081278384,265073.26294596423,fatigue
11.538461538461538,11.076923076923077,117.2582561591165,233.48742083592938,9342038.485879106,24798020.587235857,299929.8640827261,fatigue
11.538461538461538,11.307692307692308,113.68838798249604,226.6312140502231,10342629.580751326,28337807.206704903,338880.74496755435,fatigue
11.538461538461538,11.538461538461538,110.26684271418391,220.07043649590864,11436849.021889478,32320933.7311544,382346.7419325057,fatigue
11.538461538461538,11.76923076923077,106.98608913023328,213.7875234793627,12632127.473437512,36796087.39153044,430785.9472863064,fatigue
11.538461538461538,12.0,103.83900932427113,207.76622825105204,13936385.780275634,41816682.41392371,484696.5404235506,fatigue
12.076923076923077,3.0,419.01773971649425,1009.0768211825217,141327.2223060931,35364.202754241145,1962.2788192366907,rutting
12.076923076923077,3.230769230769231,406.19964987247334,951.443993764929,156541.98710516636,46016.219474777026,2218.4351561650246,rutting
12.076923076923077,3.4615384615384617,392.4303171312604,897.9158961810073,175355.79699325116,59634.36525366713,2542.1073204800773,rutting
12.076923076923077,3.6923076923076925,378.25767250992897,848.2597359982024,197921.608669381,76932.34605178349,2939.554948587442,rutting
12.076923076923077,3.9230769230769234,364.0426086446605,802.2200083338658,224512.60831018744,98766.73526504374,3419.626001768764,rutting
12.076923076923077,4.153846153846154,350.0187721124275,759.5350660131926,255498.34667413315,126159.51789144905,3993.5161142664197,rutting
12.076923076923077,4.384615384615385,336.33375065098727,719.947629711399,291333.97323458164,160323.2448865958,4674.757492838656,rutting
12.076923076923077,4.615384615384615,323.0772560590049,683.2111569091263,332556.44480325386,202688.98181672065,5479.339001218301,rutting
12.076923076923077,4.846153846153847,310.30030588411864,649.0934240863097,379784.6885366774,254937.23728301487,6425.910467220021,rutting
12.076923076923077,5.076923076923077,298.0282209295395,617.378263400678,433722.1606106296,319032.0579993174,7536.048126601124,rutting
12.076923076923077,5.307692307692308,286.26939920865254,587.8661007932743,495160.96509947313,397258.4801570009,8834.569855315263,rutting
12.076923076923077,5.538461538461538,275.021219390656,560.3737363088145,564987.0700311925,492263.5324940605,10349.894881216229,rutting
12.076923076923077,5.769230769230769,264.2740011319012,534.7336645447127,644186.3557306116,607100.9971628519,12114.445891984942,rutting
12.076923076923077,6.0,254.01365440182954,510.7931348126163,733851.3391979709,745280.1518551775,14165.093239024078,fatigue
12.076923076923077,6.230769230769231,244.22344666990804,488.41308323346044,835188.4798675125,910818.7421780723,16543.641963161255,fatigue
12.076923076923077,6.461538461538462,234.88517782791163,467.4670229847482,949526.0086071305,1108300.4679572291,19297.362995242525,fatigue
