E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
430.36319802541544,11.937766417144363,362.18967338739,605.2490310515319,259513.09928749385,348669.2703595263,4228.325626217724,fatigue
464.7237517465168,11.937766417144363,343.3992003183873,584.5982463610965,289609.77777210163,407297.3523186711,4729.403649589226,fatigue
501.8276804993071,11.937766417144363,325.40910841603693,564.3564751145841,323767.5129236975,476900.2795061382,5301.071652399308,fatigue
541.8940176155999,11.937766417144363,308.201938063014,544.5350356273042,362570.96282209613,559686.7438680265,5953.996965899877,fatigue
585.1592842296022,11.937766417144363,291.7588665484774,525.1439421932039,406693.0910269133,658334.2250322552,6700.548767639362,fatigue
631.8788855185242,11.937766417144363,276.05994278611803,506.1919127441162,456908.8782146898,776092.5074076286,7555.078286870857,fatigue
682.32861842019,11.937766417144363,261.0843028597977,487.68637885250047,514111.19169552444,916910.7603956348,8534.245976965085,fatigue
736.8062997280774,11.937766417144363,246.81036654817535,469.63349736122257,579329.1534657427,1085593.6953683156,9657.403579642896,fatigue
795.6335241748048,11.937766417144363,233.21601522801066,452.0381632251821,653749.4023140428,1287993.6491691181,10947.040367472977,fatigue
859.157562882462,11.937766417144363,220.2787517778348,434.9040234873142,738740.7100395912,1531247.1213746385,12429.304464224742,fatigue
927.7534133867852,11.937766417144363,207.97584329904586,418.2334926625603,835882.4880876531,1824066.4049778332,14134.612061028516,fatigue
1001.8260133369538,11.937766417144363,196.28444763846335,402.02777014155225,946997.8113543728,2177099.618445935,16098.359636422321,fatigue
1081.8126309390202,11.937766417144363,185.1817248322866,386.28686052301214,1074191.6936121169,2603375.827820853,18361.757032578633,fatigue
1168.18544625431,11.937766417144363,174.6449346932574,371.00959801360545,1219895.47768286,3118856.2435553544,20972.802539808927,fatigue
1261.454338590822,11.937766417144363,164.65152182786179,356.193676173202,1386918.3576502646,3743117.951248272,23987.425121548644,fatigue
1362.1698964422794,11.937766417144363,155.17918939687175,341.83568431522957,1578507.2354800715,4500203.629765544,27470.823724914808,fatigue
1470.926667743175,11.937766417144363,146.20596292010237,327.93115178719984,1798416.3369043465,5419679.667464512,31499.039453157373,fatigue
1588.3666696268983,11.937766417144363,137.7102453763853,314.4746011553886,2050988.279030535,6537956.5824175645,36160.80345058592,fatigue
1715.1831784058381,11.937766417144363,129.67086476591572,301.45961100933647,2341248.6039652363,7899940.4320528265,41559.71193854409,fatigue
1852.1248221466276,11.937766417144363,122.06711518950561,288.8788887038991,2675016.179489539,9561102.93044164,47816.79026752101,fatigue
2000.0000000000002,11.937766417144363,114.87879236468572,276.72435289365063,3059032.331988979,11590082.53565476,55073.520503672255,fatigue
100.0,12.663801734674035,851.6678500955873,1049.0701229654164,54124.47096191327,29716.032261032018,936.7813599432295,rutting
107.98408271867898,12.663801734674035,820.0336026064572,1024.8518453872907,57412.16050737407,32991.56845167208,985.8792940631256,rutting
116.60562120594504,12.663801734674035,788.7720016781635,1000.6033989051906,61103.66836889518,36724.83005329701,1041.7249154199737,rutting
125.9155104576573,12.663801734674035,757.9514964891279,976.3509415024104,65244.74062562866,40988.9521393983,1105.0454869416578,rutting
135.96870896824353,12.663801734674035,727.6343104646398,952.1209372680956,69887.57054814986,45869.927159189574,1176.6809178552626,rutting
146.824563163788,12.663801734674035,697.8764060774203,927.9400014560886,75091.68805547457,51469.0407576947,1257.599200864885,rutting
